Rank,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
0,0,1.5333703818130493,0.4372,-2.061496691131592,0.5136
0,1,1.0905332945919037,0.61136,-2.789920530700684,0.6672
0,2,0.8661177389526368,0.69024,-3.3912404460906984,0.7227
0,3,0.7196295023727417,0.74848,-3.470821611404419,0.741
0,4,0.6209577488327026,0.78376,-3.585361658477783,0.7473
0,5,0.5386839433288574,0.81448,-3.9021953742980955,0.7926
0,6,0.4678725553703308,0.83664,-3.8782425426483154,0.7901
0,7,0.41629504243850707,0.85672,-4.095189497756958,0.8263
0,8,0.35980774386405945,0.87568,-4.51977015914917,0.8274
0,9,0.3107213574838638,0.88952,-4.800925544738769,0.8343
0,10,0.26388645711898806,0.90752,-4.762963542938232,0.8392
0,11,0.22332629754543304,0.9204,-5.382476822662354,0.8423
0,12,0.19995048058748247,0.92944,-5.23360361251831,0.8522
0,13,0.17496008780956268,0.93968,-5.512820992279052,0.8389
0,14,0.14217058163225652,0.9484,-5.775534307098389,0.8454
0,15,0.12446959218025208,0.9556,-5.796076844024658,0.8519
0,16,0.10120411088824272,0.96352,-6.2975960556030275,0.8456
0,17,0.09529137338399887,0.9672,-6.396713153839111,0.8525
0,18,0.08927772921442985,0.9692,-6.3229042930603025,0.8391
0,19,0.07888980149358511,0.972,-6.9411187240600585,0.8468
0,20,0.07139949685573578,0.97528,-6.681300608825683,0.8488
0,21,0.068895281188488,0.97584,-7.019701750946045,0.856
0,22,0.053746282953321935,0.98128,-6.837079865264893,0.8578
0,23,0.0740136130362749,0.97512,-6.90171630783081,0.8513
0,24,0.060207451028823855,0.97936,-7.040923129272461,0.8522
0,25,0.05223038193717599,0.98232,-6.876085405731201,0.8422
0,26,0.0614451311480999,0.97824,-7.004293384552002,0.854
0,27,0.04237994358807802,0.98544,-7.7496618591308595,0.8574
0,28,0.04610057622879744,0.98272,-7.171244004058838,0.8626
0,29,0.03116341110408306,0.98896,-7.904510775756836,0.8581
0,30,0.05007071834206581,0.98304,-7.404303298187256,0.8538
0,31,0.042891855270937085,0.98528,-7.170825955963135,0.8549
0,32,0.03344587261661887,0.98792,-7.62614426651001,0.8597
0,33,0.037389280735254285,0.98792,-7.407795518493653,0.8439
0,34,0.03682801142126322,0.988,-7.556286753845215,0.8595
0,35,0.03953656575918198,0.986,-7.920189590454101,0.8645
0,36,0.027832669592499734,0.99032,-8.101886995697022,0.8572
0,37,0.029076520528793334,0.99,-7.962907463073731,0.8563
0,38,0.03671677050560713,0.9872,-7.624523793792725,0.8566
0,39,0.030658984725475312,0.98984,-7.834248811340332,0.86
