Rank,Epoch,TrainLoss,TrainAcc,TestLoss,TestAcc
0,0,1.5323481410980224,0.41976,-3.738424793624878,0.4348
0,1,0.9925477760505677,0.64544,-4.6890185264587405,0.6708
0,2,0.7865785678863525,0.72336,-5.176221838378906,0.7442
0,3,0.6389534268569946,0.78296,-5.340649532318115,0.7509
0,4,0.5384172669029236,0.81432,-6.157426960754394,0.7801
0,5,0.4497566830158234,0.8464,-6.978806852722168,0.8026
0,6,0.3709889946365356,0.87992,-6.982973945617676,0.8205
0,7,0.31733754865646363,0.8936,-6.960150355529785,0.834
0,8,0.2552692749977112,0.91248,-7.0001385887145995,0.7994
0,9,0.20777240447044373,0.92968,-8.000433840179443,0.8421
0,10,0.17211614291191102,0.9412,-7.708045420074463,0.8315
0,11,0.14521694282770156,0.95,-8.634764010620117,0.8203
0,12,0.1204738749217987,0.96088,-7.861100309753418,0.8464
0,13,0.10163522042751312,0.966,-8.49467983932495,0.8397
0,14,0.08610892465621232,0.97104,-8.249830712127686,0.8401
0,15,0.08770577640503645,0.97064,-8.245626408386231,0.8534
0,16,0.06914576003074646,0.97624,-8.452506662750244,0.8485
0,17,0.06158150445461273,0.98024,-8.975273593139649,0.8437
0,18,0.059860208294391634,0.97976,-8.619134245300293,0.8531
0,19,0.056963533415794375,0.98048,-8.261629113769532,0.8442
0,20,0.05691833156585693,0.9812,-8.032872651672363,0.8469
0,21,0.046717080573439596,0.984,-8.30209750366211,0.851
0,22,0.041805699684619904,0.98576,-8.114610130310059,0.8458
0,23,0.05120128673076629,0.98344,-8.70055864944458,0.8611
0,24,0.041598418186903,0.98728,-7.843880336761474,0.8573
0,25,0.0360222955134511,0.98912,-8.03033478012085,0.8499
0,26,0.03546067124336958,0.98824,-7.488744760131836,0.851
0,27,0.0343349306678772,0.98872,-7.791359080505371,0.8438
0,28,0.0390089188766107,0.98696,-7.802209725952149,0.8524
0,29,0.029588243632316588,0.99064,-8.309328800201415,0.8591
0,30,0.02662631370306015,0.99136,-7.848105625915528,0.8443
0,31,0.033060205307155845,0.98984,-8.283727053833008,0.8464
0,32,0.026246387471556665,0.9912,-7.812693427276612,0.8601
0,33,0.028264316091537477,0.99048,-7.376091228485107,0.8555
0,34,0.02907325232502073,0.99144,-7.650420832824707,0.864
0,35,0.026620740709900857,0.9912,-7.439705528259277,0.8532
0,36,0.030275500059146435,0.98968,-7.860113694763184,0.8658
0,37,0.022282206382453443,0.99352,-7.621191448974609,0.8552
0,38,0.02476280462263152,0.99232,-6.993788560485839,0.8571
0,39,0.02162449033740908,0.99344,-7.617966293334961,0.8652
